loop_id	category	n_genes	genes	in_dualhigh17	tier	mean_d	mean_coex	n_active
PFL_EPI_016	PFL_EPI	2	SRSF10,MYB				
PFL_EPI_017	PFL_EPI	2	MIR17HG,HK1				
PFL_EPI_018	PFL_EPI	2	CLOCK,ACSL1				
PFL_EPI_020	PFL_EPI	3	ALKBH5,HDAC4,HIF1A			0.267	0.226	3
PFL_EPI_021	PFL_EPI	2	HNRNPC,TRAF6			0.767	0.28	3
PFL_EPI_022	PFL_EPI	2	KAT2A,MAPK1			1.287	0.065	5
PFL_HIF_001	PFL_HIF	2	KCNJ2,HIF1A			0.49	0.364	3
PFL_HIF_002	PFL_HIF	2	SKA3,HIF1A			1.478	0.17	5
PFL_HIF_003	PFL_HIF	2	CPT1A,HIF1A			-0.025	-0.013	1
PFL_HIF_004	PFL_HIF	2	USP51,HIF1A			0.167	0.081	2
PFL_HIF_005	PFL_HIF	2	KCNJ2,HIF1A			0.49	0.364	3
PFL_HIF_006	PFL_HIF	3	HIF1A-AS1,YBX1,HIF1A			0.664	0.202	3
PFL_HIF_007	PFL_HIF	2	EEF1A2,HIF1A			0.592	0.017	3
PFL_HIF_008	PFL_HIF	2	HIF1A,VEGFA			1.091	0.233	5
PFL_HIF_009	PFL_HIF	3	NAT10,SEPT9,HIF1A			1.355	0.259	5
PFL_HIF_010	PFL_HIF	3	NOV,IMP3,HIF1A			0.645	-0.038	3
PFL_HIF_012	PFL_HIF	2	YBX1,HIF1A			0.795	0.139	3
PFL_HIF_014	PFL_HIF	2	HIF1A,TDRD3			0.548	0.108	3
PFL_HIF_015	PFL_HIF	3	UBE2M,ESR1,HIF1A			0.443	-0.062	3
PFL_IMM_001	PFL_IMM	2	CASC15,SMAD3			0.645	0.031	3
PFL_IMM_002	PFL_IMM	2	SNHG17,FOSL2				
PFL_IMM_003	PFL_IMM	2	THAP9-AS1,SOX4			1.936	0.219	5
PFL_IMM_004	PFL_IMM	3	LINC01607,SQSTM1,NFE2L2			0.252	0.018	2
PFL_IMM_005	PFL_IMM	3	HMGA2,E2F1,HNRNPL			1.23	0.299	4
PFL_IMM_006	PFL_IMM	2	KLF5,FUS			1.092	0.149	3
PFL_IMM_007	PFL_IMM	2	E2F5,CDK13			1.12	0.243	4
PFL_IMM_008	PFL_IMM	2	ZEB1,CTNNB1			0.47	0.274	3
PFL_MYC_001	PFL_MYC	3	TMEM44-AS1,EGR1,IL6				
PFL_MYC_002	PFL_MYC	4	RGS19,MYH9,CTNNB1,MYC			0.832	0.166	4
